,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
2666,c1ccc2c(c1)NC(=O)CN2C(=O)c3cccc(c3Cl)Cl,mol2666,OK,321.163,3.5923000000000016,1,2,49.410000000000004
2667,CCCOc1ccc(cc1S)C,mol2667,Filter74_thiol > 0,182.28799999999998,3.0725200000000017,1,2,9.23
2668,c1cnc(c(n1)C(=O)O)SC(F)(F)F,mol2668,OK,224.16299999999995,1.7867000000000002,1,4,63.08
2669,C/C(=N/Nc1c2ccccc2cnn1)/c3ccc4c(c3)OCO4,mol2669,Filter39_imine > 0,306.32500000000005,3.194600000000001,1,6,68.63000000000001
2670,c1cc(c(cc1OC(F)(F)F)C#N)N,mol2670,OK,202.13499999999996,2.03908,1,3,59.03999999999999
2671,Cc1ccccc1[C@H]2CCN2,mol2671,OK,147.221,2.02942,1,1,12.03
2672,c1cc2c(cc1C(=O)CN3C(=O)C4(CCCC4)NC3=O)OCCO2,mol2672,OK,330.3400000000001,1.5050999999999999,1,5,84.94000000000001
2673,c1ccc2c(c1)CCCN2C(=O)c3ccccc3n4cccn4,mol2673,OK,303.365,3.465300000000002,0,3,38.13
2674,c1cc(cc(c1)F)N=NN2CCOCC2,mol2674,OK,209.22399999999993,2.1566,0,3,37.19
2675,Cc1ccc2cc(c(=O)[nH]c2c1)/C=N/C(C)C,mol2675,OK,228.29500000000002,2.663820000000001,1,2,45.22
2676,c1c(sc(n1)CN)Br,mol2676,Filter9_metal > 0,193.06900000000002,1.3643,1,3,38.91
2677,Cc1ccc(c(c1[N+](=O)[O-])C)C(=O)OC,mol2677,OK,209.201,1.99824,0,4,69.44
2678,c1csc(n1)N2CCN(CC2)c3c(cncn3)C(=O)O,mol2678,OK,291.336,0.9578999999999998,1,7,82.45
